Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;2;0,779758024;0,760878669;0,747649505;0,236678034;0,239645172;0,245730514;0,262277338;0,233412145;0,208573857;0,065369699;0,06534642;0,066921691;Model 2;NonFed;0,018879356;-0,002967138;0,028865193;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;64;3;0,788198289;0,750927636;0,735867699;0,23780497;0,247953666;0,24796168;0,291711188;0,227948366;0,198937892;0,065670024;0,067787708;0,067428102;Model 3;NonFed;0,037270653;-0,010148695;0,063762821;-0,002117684
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;1;0,780065963;0,759179656;0,763369075;0,234539414;0,245927426;0,239778103;0,255772406;0,233278752;0,230346633;0,064643391;0,067572107;0,065915073;Model 1;NonFed;0,020886307;-0,011388012;0,022493655;-0,002928717
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;2;0,789979459;0,755924495;0,745654254;0,241542426;0,247522773;0,251533542;0,274470424;0,219652961;0,207072241;0,065916833;0,067105381;0,068321273;Model 2;NonFed;0,034054965;-0,005980347;0,054817462;-0,001188548
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;32;3;0,800615159;0,746596994;0,735000799;0,231371063;0,247834604;0,247505986;0,302650712;0,227978182;0,199908959;0,064579249;0,067651167;0,067329655;Model 3;NonFed;0,054018165;-0,016463541;0,07467253;-0,003071918
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;1;0,783404854;0,763794844;0,765011269;0,233801899;0,246083449;0,240205036;0,260729789;0,245050478;0,235714685;0,064354325;0,067152504;0,065657236;Model 1;NonFed;0,01961001;-0,012281549;0,015679311;-0,002798179
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;2;0,79048098;0,753179271;0,742764991;0,241121187;0,246565106;0,249635154;0,275291556;0,216024765;0,209748145;0,065746943;0,066576557;0,067479328;Model 2;NonFed;0,03730171;-0,005443919;0,059266791;-0,000829614
8-2-1;0;0;7.83% - 7.85% - 7.90%;1;16;3;0,803823082;0,754488095;0,74000971;0,238298396;0,251640159;0,251531495;0,327824413;0,222923206;0,206519483;0,065417076;0,068733121;0,068417191;Model 3;NonFed;0,049334987;-0,013341763;0,104901207;-0,003316045
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;1024;1;0,779244908;0,75622052;0,760561864;0,233361746;0,246135369;0,239942043;0,262086746;0,236759344;0,230454736;0,064286832;0,067471529;0,065852112;Model 1;Fed;0,023024389;-0,012773623;0,025327402;-0,003184697
8-2-1;1;0;7.83% - 7.85% - 7.90%;10;1024;2;0,759300867;0,772337731;0,758905463;0,242846024;0,234379847;0,240453618;0,234990177;0,253969701;0,2284193;0,066666289;0,064319385;0,065955998;Model 2;Fed;0;0;0;0
